Subbasin Grouping,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 6, 2025 (af) "
Upper Rio Grande,Rio Grande Headwaters,0.0 ,1.0 ,"71,044 ","-61,265 "
,Saguache,0.0 ,0.1 ,"5,016 ","-21,736 "
,Conejos,0.0 ,0.9 ,"37,210 ","-29,331 "
,Total,0.0 ,0.6 ,"113,271 ","-112,332 "
Sangre de Cristo,San Luis,0.0 ,0.1 ,"10,500 ","-12,959 "
,Alamosa-Trinchera,0.0 ,0.1 ,"19,602 ","-52,701 "
,Upper Rio Grande,0.0 ,0.4 ,"70,916 ","-73,258 "
,Total,0.0 ,0.3 ,"101,019 ","-138,917 "
Rio Chama,,0.0 ,0.1 ,"17,326 ","-81,806 "
Jemez,,0.0 ,0.0 ,72 ,"-8,450 "
