HUC6 Basin,HUC8 Subbasin,Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 13, 2025 (af) "
Rio Grande Headwaters,Rio Grande Headwaters,0.0 ,0.5 ,"35,563 ","-35,481 "
,Alamosa-Trinchera,0.0 ,0.1 ,"8,778 ","-10,824 "
,San Luis,0.0 ,0.1 ,"5,591 ","-4,910 "
,Saguache,0.0 ,0.0 ,"1,913 ","-3,103 "
,Conejos,0.0 ,0.5 ,"20,101 ","-17,109 "
,Total,0.0 ,0.2 ,"71,947 ","-71,426 "
Upper Rio Grande,Upper Rio Grande,0.0 ,0.2 ,"39,980 ","-30,936 "
,Rio Chama,0.0 ,0.1 ,"11,741 ","-5,585 "
,Total,0.0 ,0.2 ,"51,720 ","-36,521 "
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,0.0 ,0.0 ,188 ,-468 
,Jemez,0.0 ,0.0 ,0 ,-72 
,Rio Grande-Albuquerque,0.0 ,0.0 ,0 ,0 
,Arroyo Chico,0.0 ,0.0 ,2 ,2 
,North Plains,0.0 ,0.0 ,0 ,0 
,Rio San Jose,0.0 ,0.0 ,40 ,40 
,Plains of San Agustin,0.0 ,0.0 ,0 ,0 
,Rio Salado,0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,0.0 ,0.0 ,0 ,0 
,Rio Puerco,0.0 ,0.0 ,0 ,-2 
,Total,0.0 ,0.0 ,229 ,-501 
