HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since May 13, 2025 (af)  "
Rio Grande Headwaters,Rio Grande Headwaters,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,298 ,177 
,,10000-11000',0.0 ,0.3 ,"7,381 ","-6,901 "
,,11000-12000',0.1 ,1.0 ,"21,413 ","-23,025 "
,,12000-13000',0.5 ,1.1 ,"6,349 ","-5,668 "
,,13000-14000',0.8 ,1.0 ,122 ,-65 
,Alamosa-Trinchera,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,17 ,17 
,,9000-10000',0.0 ,0.1 ,"1,090 ","1,090 "
,,10000-11000',0.1 ,0.1 ,"1,398 ",-547 
,,11000-12000',0.1 ,0.5 ,"4,101 ","-8,498 "
,,12000-13000',0.6 ,1.1 ,"2,054 ","-2,799 "
,,13000-14000',1.3 ,1.4 ,118 ,-87 
,San Luis,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,2 ,2 
,,10000-11000',0.0 ,0.1 ,428 ,-974 
,,11000-12000',0.1 ,0.5 ,"2,131 ","-2,371 "
,,12000-13000',0.2 ,1.2 ,"3,010 ","-1,526 "
,,13000-14000',0.3 ,0.3 ,19 ,-40 
,Saguache,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,10 ,-31 
,,10000-11000',0.0 ,0.0 ,398 ,-751 
,,11000-12000',0.0 ,0.2 ,815 ,"-1,676 "
,,12000-13000',0.0 ,0.7 ,690 ,-641 
,,13000-14000',0.0 ,0.0 ,1 ,-4 
,Conejos,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,14 ,14 
,,9000-10000',0.0 ,0.1 ,817 ,413 
,,10000-11000',0.2 ,0.6 ,"5,996 ","-6,719 "
,,11000-12000',2.5 ,2.5 ,"12,251 ","-10,317 "
,,12000-13000',3.0 ,2.6 ,"1,023 ",-499 
Upper Rio Grande,Upper Rio Grande,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,2 ,2 
,,9000-10000',0.0 ,0.0 ,276 ,-667 
,,10000-11000',0.0 ,0.2 ,"4,173 ","-11,681 "
,,11000-12000',0.9 ,3.8 ,"30,061 ","-16,409 "
,,12000-13000',2.8 ,4.7 ,"5,469 ","-2,181 "
,Rio Chama,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,206 ,206 
,,9000-10000',0.1 ,0.1 ,"2,379 ","2,024 "
,,10000-11000',0.2 ,0.5 ,"5,415 ","-5,912 "
,,11000-12000',4.8 ,4.3 ,"3,458 ","-1,847 "
,,12000-13000',6.8 ,6.8 ,281 ,-56 
Rio Grande-Elephant Butte,Rio Grande-Santa Fe,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,-36 
,,10000-11000',0.0 ,0.3 ,63 ,-317 
,,11000-12000',1.6 ,1.5 ,125 ,-114 
,Jemez,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,-8 
,,10000-11000',0.0 ,0.0 ,0 ,-64 
,Rio Grande-Albuquerque,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Arroyo Chico,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,1 ,1 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,1 ,1 
,North Plains,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,Rio San Jose,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,18 ,18 
,,10000-11000',0.0 ,0.1 ,22 ,22 
,Plains of San Agustin,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,Rio Salado,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,Jornada Del Muerto,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,Elephant Butte Reservoir,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Rio Puerco,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,-2 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
