HUC6 Basin,HUC8 Subbasin,Elevation Band (ft.),Median SWE (in.),Mean SWE (in.),Estimated Volume (af),"Volume Change since April 22, 2025 (af)  "
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,0 
,,9000-10000',0.0 ,0.0 ,0 ,0 
,,10000-11000',0.0 ,0.0 ,0 ,0 
,Rio Puerco,4000-5000',0.0 ,0.0 ,0 ,0 
,,5000-6000',0.0 ,0.0 ,0 ,0 
,,6000-7000',0.0 ,0.0 ,0 ,0 
,,7000-8000',0.0 ,0.0 ,0 ,0 
,,8000-9000',0.0 ,0.0 ,0 ,-213 
,,9000-10000',0.0 ,0.0 ,0 ,-224 
,,10000-11000',0.0 ,0.0 ,0 ,-208 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
